2457238	1436	10	18
2457275	1436	11	26
2457312	1437	1	4
2457349	1437	2	11
2457386	1437	3	19
2457423	1437	4	26
2457460	1437	6	4
2457497	1437	7	12
2457534	1437	8	19
2457571	1437	9	27
2457608	1437	11	5
2457645	1437	12	12
2457682	1438	1	19
2457719	1438	2	26
2457756	1438	4	4
2457793	1438	5	12
2457830	1438	6	19
2457867	1438	7	27
2457904	1438	9	5
2457941	1438	10	12
2457978	1438	11	20
2458015	1438	12	27
2458052	1439	2	5
2458089	1439	3	13
2458126	1439	4	20
2458163	1439	5	28
2458200	1439	7	6
2458237	1439	8	13
2458274	1439	9	21
2458311	1439	10	28
2458348	1439	12	6
2458385	1440	1	13
2458422	1440	2	20
2458459	1440	3	28
2458496	1440	5	6
2458533	1440	6	13
2458570	1440	7	21
2458607	1440	8	28
2458644	1440	10	6
2458681	1440	11	14
2458718	1440	12	21
2458755	1441	1	29
2458792	1441	3	7
2458829	1441	4	14
2458866	1441	5	22
2458903	1441	6	29
2458940	1441	8	7
2458977	1441	9	15
2459014	1441	10	22
2459051	1441	11	30
2459088	1442	1	8
2459125	1442	2	15
2459162	1442	3	23
2459199	1442	5	1
2459236	1442	6	8
2459273	1442	7	16
2459310	1442	8	23
2459347	1442	10	1
2459384	1442	11	9
2459421	1442	12	16
2459458	1443	1	23
2459495	1443	3	1
2459532	1443	4	8
2459569	1443	5	16
2459606	1443	6	23
2459643	1443	8	1
2459680	1443	9	9
2459717	1443	10	16
2459754	1443	11	24
2459791	1444	1	2
2459828	1444	2	9
2459865	1444	3	17
2459902	1444	4	24
2459939	1444	6	2
2459976	1444	7	10
2460013	1444	8	17
2460050	1444	9	25
2460087	1444	11	3
2460124	1444	12	10
2460161	1445	1	18
2460198	1445	2	25
2460235	1445	4	3
2460272	1445	5	11
2460309	1445	6	18
2460346	1445	7	26
2460383	1445	9	4
2460420	1445	10	11
2460457	1445	11	19
2460494	1445	12	26
2460531	1446	2	3
2460568	1446	3	11
2460605	1446	4	18
2460642	1446	5	26
2460679	1446	7	4
2460716	1446	8	11
2460753	1446	9	19
2460790	1446	10	26
2460827	1446	12	4
2460864	1447	1	12
2460901	1447	2	19
2460938	1447	3	27
2460975	1447	5	5
2461012	1447	6	12
2461049	1447	7	20
2461086	1447	8	27
2461123	1447	10	5
2461160	1447	11	13
2461197	1447	12	20
2461234	1448	1	28
2461271	1448	3	6
2461308	1448	4	13
2461345	1448	5	21
2461382	1448	6	28
2461419	1448	8	6
2461456	1448	9	14
2461493	1448	10	21
2461530	1448	11	29
2461567	1449	1	6
2461604	1449	2	13
2461641	1449	3	21
2461678	1449	4	28
2461715	1449	6	6
2461752	1449	7	14
2461789	1449	8	21
2461826	1449	9	29
2461863	1449	11	7
2461900	1449	12	14
2461937	1450	1	22
2461974	1450	2	29
2462011	1450	4	7
2462048	1450	5	15
2462085	1450	6	22
